ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60628,24,06/12/2022,06/18/2022,108,13168,162,19735,1113,266206,1668,398965.9,0.1,0.1,0,309,0.0,463.1,66724,60628-2022-24,POINT (-87.621537 41.694192)
60628,25,06/19/2022,06/25/2022,95,13263,142,19877.4,1076,267282,1613,400578.5,0.1,0.1,0,309,0.0,463.1,66724,60628-2022-25,POINT (-87.621537 41.694192)
60628,27,07/03/2022,07/09/2022,122,13522,183,20265.6,1098,269482,1646,403875.7,0.1,0.1,0,310,0.0,464.6,66724,60628-2022-27,POINT (-87.621537 41.694192)
60628,28,07/10/2022,07/16/2022,144,13666,216,20481.4,1275,270757,1911,405786.5,0.1,0.1,0,310,0.0,464.6,66724,60628-2022-28,POINT (-87.621537 41.694192)
60628,29,07/17/2022,07/23/2022,168,13834,252,20733.2,1246,272003,1867,407653.9,0.1,0.1,2,312,3.0,467.6,66724,60628-2022-29,POINT (-87.621537 41.694192)
60628,30,07/24/2022,07/30/2022,161,13995,241,20974.5,1269,273272,1902,409555.8,0.1,0.1,0,312,0.0,467.6,66724,60628-2022-30,POINT (-87.621537 41.694192)
60628,31,07/31/2022,08/06/2022,132,14127,198,21172.3,1084,274356,1625,411180.4,0.1,0.1,1,313,1.5,469.1,66724,60628-2022-31,POINT (-87.621537 41.694192)
60628,32,08/07/2022,08/13/2022,135,14262,202,21374.6,1077,275433,1614,412794.5,0.1,0.1,0,313,0.0,469.1,66724,60628-2022-32,POINT (-87.621537 41.694192)
60628,33,08/14/2022,08/20/2022,89,14351,133,21508,1081,276514,1620,414414.6,0.1,0.1,0,313,0.0,469.1,66724,60628-2022-33,POINT (-87.621537 41.694192)
60628,5,01/30/2022,02/05/2022,37,12002,56,17987.5,4269,191584,6398,287129.1,0.0,0.1,5,303,7.5,454.1,66724,60628-2022-5,POINT (-87.621537 41.694192)
60628,6,02/06/2022,02/12/2022,36,12038,54,18041.5,5150,196734,7718,294847.4,0.0,0.1,0,303,0.0,454.1,66724,60628-2022-6,POINT (-87.621537 41.694192)
60628,7,02/13/2022,02/19/2022,28,12066,42,18083.4,5106,201840,7652,302499.9,0.0,0.1,3,306,4.5,458.6,66724,60628-2022-7,POINT (-87.621537 41.694192)
60628,8,02/20/2022,02/26/2022,21,12087,32,18114.9,4913,206753,7363,309863,0.0,0.1,0,306,0.0,458.6,66724,60628-2022-8,POINT (-87.621537 41.694192)
60628,9,02/27/2022,03/05/2022,21,12108,32,18146.4,5005,211758,7501,317364.1,0.0,0.1,1,307,1.5,460.1,66724,60628-2022-9,POINT (-87.621537 41.694192)
60629,14,03/29/2020,04/04/2020,93,174,83,155.6,221,469,198,419.3,0.4,0.3,7,7,6.3,6.3,111850,60629-2020-14,POINT (-87.711565 41.777061)
60629,15,04/05/2020,04/11/2020,136,310,122,277.2,323,792,289,708.1,0.4,0.4,6,13,5.4,11.6,111850,60629-2020-15,POINT (-87.711565 41.777061)
